PC1,PC2,Sample
146.08464112517703,-120.00024385785696,NPFM1
-80.11852507161102,-81.36276152543398,NPFM2
-231.9142272757634,56.311643842005424,NPFM3
165.9481112221976,145.0513615412857,NPFM4
