"","NPFM1","NPFM2","NPFM3","NPFM4"
"NPIL_80533",0,0,0,0
"NPIL_80534",0,0,20.0732593755886,0
"NPIL_80536",0,57.762435577184,41.2616998275988,0
"NPIL_80535",0,0,0,0
"NPIL_80540",0,0,0,0
"NPIL_80541",0,56.9711693364007,101.741177657093,0
"NPIL_80542",0,0,40.6964710628371,0
"NPIL_80543",0,0,0,0
"NPIL_80544",9.08849723576147,0,54.3446778217154,0
"NPIL_80220",660.040302369272,132.93766358408,43.2347125012677,533.973601784811
"NPIL_80545",0,0,0,0
"NPIL_80546",0,28.4855846682003,40.6964710628371,20.8805579007759
"NPIL_80547",0,56.9711693364007,122.089413188511,0
"NPIL_80548",0,28.4855846682003,40.6964710628371,0
"NPIL_80555",0,0,45.0127634482896,0
"NPIL_80554",0,0,183.134119782767,0
"NPIL_80553",0,0,0,0
"NPIL_80549",0,0,142.43764871993,0
"NPIL_80552",0,0,20.921425264698,0
"NPIL_80550",0,0,63.6609083054381,0
"NPIL_80551",0,0,0,0
"NPIL_80557",0,0,0,0
"NPIL_80556",0,0,0,0
"NPIL_80558",0,0,0,0
"NPIL_80559",0,0,0,0
"NPIL_80560",0,0,0,0
"NPIL_80561",0,0,0,0
"NPIL_80562",0,0,20.3482355314186,0
"NPIL_80563",0,0,0,0
"NPIL_80564",0,0,0,0
"NPIL_80565",0,0,0,0
"NPIL_80566",0,0,0,0
"NPIL_80567",0,0,0,0
"NPIL_80568",0,0,0,0
"NPIL_80569",0,0,0,0
"NPIL_80570",0,0,0,0
"NPIL_80257",81549.3931852218,9001.83196291752,3861.9604938774,1728.02463903268
"NPIL_80258",0,0,0,0
"NPIL_80571",0,0,60.2197781267658,0
"NPIL_80572",0,0,180.659334380297,0
"NPIL_80573",0,0,0,0
"NPIL_80574",0,0,0,0
"NPIL_80575",0,0,0,0
"NPIL_80576",0,0,0,0
"NPIL_80587",0,0,0,0
"NPIL_80586",0,0,0,0
"NPIL_80585",0,0,0,0
"NPIL_80584",0,0,20.921425264698,0
"NPIL_80577",0,0,0,0
"NPIL_80578",0,0,0,0
"NPIL_80579",0,0,0,0
"NPIL_80580",0,0,0,0
"NPIL_80583",0,0,0,0
"NPIL_80582",0,0,0,0
"NPIL_80581",0,0,0,0
"NPIL_80588",0,0,0,0
"NPIL_80590",0,0,20.0732593755886,0
"NPIL_80589",0,0,32.2917650824686,0
"NPIL_80592",0,0,212.203027684794,0
"NPIL_80591",0,0,17.6835856403995,0
"NPIL_80593",0,0,0,0
"NPIL_80594",0,0,0,0
"NPIL_80595",0,0,0,0
"NPIL_80596",0,0,20.921425264698,0
"NPIL_80599",0,0,0,0
"NPIL_80597",0,0,41.2616998275988,0
"NPIL_80598",0,0,0,0
"NPIL_80600",0,0,19.8056159172474,0
"NPIL_80601",0,0,0,0
"NPIL_80602",0,0,40.6964710628371,0
"NPIL_80603",0,0,0,0
"NPIL_80184",17.8033562518305,11.5524871154368,10.7280419551757,13.5491620156146
"NPIL_80185",10.5079588430821,5.6384156203325,20.9441166153104,11.5726302465255
"NPIL_80186",0,0,0,0
"NPIL_80187",287.532961826579,97.474110036498,46.4194123060486,36.6413636239577
"NPIL_80604",0,0,0,0
"NPIL_80605",0,0,180.659334380297,0
"NPIL_80606",0,0,361.318668760595,0
"NPIL_80607",0,0,481.758225014126,0
"NPIL_80608",0,0,0,0
"NPIL_80611",0,0,0,0
"NPIL_80609",0,0,0,0
"NPIL_80610",0,0,0,0
"NPIL_80612",20.4179937899299,0,0,0
"NPIL_80613",0,0,0,0
"NPIL_80182",0,0,0,0
"NPIL_80614",0,0,0,0
"NPIL_80618",0,0,90.5744630361924,0
"NPIL_80617",0,0,17.4755434563948,0
"NPIL_80616",0,0,36.229785214477,0
"NPIL_80615",0,0,90.5744630361924,0
"NPIL_80619",0,0,0,0
"NPIL_80620",0,28.881217788592,144.415949396596,0
"NPIL_80223",6.77506157574946,0,256.57275165525,0
"NPIL_80621",0,0,101.741177657093,0
"NPIL_80622",0,0,0,0
"NPIL_80624",0,0,0,0
"NPIL_80623",16.9376539393737,0,0,0
"NPIL_80625",0,0,40.1465187511772,0
"NPIL_80627",0,0,54.3446778217154,0
"NPIL_80626",0,0,36.229785214477,0
"NPIL_80628",0,57.762435577184,41.2616998275988,0
"NPIL_80629",0,0,0,0
"NPIL_80631",62.1047311110367,375.455831251696,2413.80943991453,169.364525195182
"NPIL_80630",0,0,1237.85099482796,21.1705656493978
"NPIL_80632",0,0,0,0
"NPIL_80633",0,0,0,0
"NPIL_80634",0,28.4855846682003,0,0
"NPIL_80635",0,0,0,0
"NPIL_80637",0,0,36.229785214477,0
"NPIL_80636",0,0,0,0
"NPIL_80638",0,0,0,0
"NPIL_80639",0,0,0,0
"NPIL_80259",19.8268625143216,13.016886890633,15.4973520479244,25.4444357100744
"NPIL_80640",41.4031540740245,57.762435577184,0,0
"NPIL_80641",0,0,17.2723394627158,0
"NPIL_80643",0,0,0,0
"NPIL_80642",0,0,0,42.3411312987956
"NPIL_80645",0,0,0,0
"NPIL_80644",0,0,0,0
"NPIL_80248",0,0,0,0
"NPIL_80646",0,0,0,0
"NPIL_80651",0,0,165.046799310395,0
"NPIL_80650",0,0,61.8925497413981,0
"NPIL_80649",0,0,845.864846465775,0
"NPIL_80648",0,0,20.6308499137994,0
"NPIL_80647",0,0,0,0
"NPIL_80652",0,0,35.3671712807989,0
"NPIL_80653",0,0,0,0
"NPIL_80654",0,0,0,0
"NPIL_80198",0,1819.5167206813,702.922529205879,0
"NPIL_80655",0,0,282.937370246391,0
"NPIL_80227",0,58.8522928522252,84.0804449317107,0
"NPIL_80658",0,0,82.5233996551975,0
"NPIL_80657",0,0,101.741177657093,0
"NPIL_80656",0,0,0,0
"NPIL_80659",0,0,0,0
"NPIL_80660",0,0,0,0
"NPIL_80661",0,0,0,0
