Gene ID,NPFM1,NPFM2,NPFM3,NPFM4,FC_NPFM2_vs_NPFM1,log2FC_NPFM2_vs_NPFM1,FC_NPFM3_vs_NPFM1,log2FC_NPFM3_vs_NPFM1,FC_NPFM4_vs_NPFM1,log2FC_NPFM4_vs_NPFM1,FC_NPFM3_vs_NPFM2,log2FC_NPFM3_vs_NPFM2,FC_NPFM4_vs_NPFM2,log2FC_NPFM4_vs_NPFM2,FC_NPFM4_vs_NPFM3,log2FC_NPFM4_vs_NPFM3,Chr,Gene Name,Description
NPIL_553921,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000022.1,AVEN_66035_1,uncharacterized protein
NPIL_101111,0.246004947789383,0.265840460166963,0.461367836265079,0.213317627533249,1.0159192886133972,0.022785789371365318,1.1728427233437435,0.23000956284212934,0.9737662997934905,-0.03835252235806495,1.1544644702479538,0.2072237734707643,0.9585075416006323,-0.06113831172943008,0.8302616202599685,-0.2683620852001943,BMAW01000023.1,map2k6,dual specificity mitogen-activated protein kinase kinase 6
NPIL_101121,1.4600165221141,2.27860209741188,0.896247956748417,8.71298971815784,1.3327561290500198,0.41441281673770936,0.7708273256306469,-0.3755203791786692,3.9483432858453518,1.9812474293222238,0.578370872831842,-0.7899331959163785,2.962539957448709,1.5668346125845143,5.122214994927745,2.356767808500893,BMAW01000023.1,U2af50,splicing factor U2AF 50 kDa subunit
NPIL_101131,0.677884147708627,0.0,0.0,0.0,0.5959887048015994,-0.7466431059467948,0.5959887048015994,-0.7466431059467948,0.5959887048015994,-0.7466431059467948,1.0,0.0,1.0,0.0,1.0,0.0,BMAW01000023.1,Unknown,hypothetical protein
NPIL_678831,3.41108826837857,0.0,0.0,0.663316040138463,0.22670142585189762,-2.141134629865158,0.22670142585189762,-2.141134629865158,0.37707611794172174,-1.4070723143842037,1.0,0.0,1.663316040138463,0.7340623154809542,1.663316040138463,0.7340623154809542,BMAW01000025.1,NCL1_38110,uncharacterized protein
NPIL_195111,0.0,0.398523211534114,0.533006670809969,1.0010688477128,1.398523211534114,0.4839041986744979,1.533006670809969,0.6163639748332996,2.0010688477128,1.0007708046974924,1.0961610491457865,0.13245977615880183,1.4308442156764218,0.5168666060229944,1.305322987704632,0.38440682986419267,BMAW01000035.1,Unknown,uncharacterized protein
NPIL_698291,0.0,0.0,1.21272946355021,0.0,1.0,0.0,2.21272946355021,1.1458270727144446,1.0,0.0,2.21272946355021,1.1458270727144446,1.0,0.0,0.45193053035753933,-1.1458270727144446,BMAW01000036.1,Unknown,hypothetical protein
NPIL_698301,0.0790534200930182,0.23696638042296,0.325917160221991,0.162096748802812,1.1463439690653399,0.19704000047065504,1.228778052626618,0.2972243532277706,1.076959423104961,0.10696389409006023,1.0719104263517782,0.10018435275711562,0.939473187949904,-0.09007610638059496,0.8764474762573015,-0.19026045913771047,BMAW01000036.1,AVEN_115995_1,uncharacterized protein
NPIL_698311,0.390384346056316,0.0,0.18807341089573,1.8544622909403,0.7192255888354888,-0.47548374446140124,0.8544927985312691,-0.22685976163662677,2.0530023220102356,1.0377352591809317,1.18807341089573,0.24862398282477438,2.8544622909403,1.513219003642333,2.402597570791708,1.2645950208175585,BMAW01000036.1,KAT14,cysteine-rich protein 2-binding protein
NPIL_698321,1.32244410704348,1.34662694505447,1.28646592511148,4.41624320902018,1.0104126673867624,0.014944631195254608,0.9845084831867921,-0.02252445747684877,2.3321307034231156,1.2216486461268414,0.9743627677719378,-0.03746908867210327,2.3080972544165763,1.2067040149315869,2.3688274334357744,1.2441731036036905,BMAW01000036.1,Unknown,hypothetical protein
