Gene ID,NPFM1,NPFM2,NPFM3,NPFM4
NPIL_553921,0.0,0.0,0.0,0.0
NPIL_101111,3.6339189999454913,7.379141197099629,47.860503755951825,1.7262574490823477
NPIL_101121,16.09306985690146,47.19575723978304,69.37577608660908,52.61332486116199
NPIL_101131,0.14832322448757107,0.0,0.0,0.0
NPIL_678831,1.4090706326319251,0.0,0.0,0.15010934339846504
NPIL_195111,0.0,1.2298568661832714,6.14722066590207,0.9006560603907902
NPIL_698291,0.0,0.0,2.6345231425294586,0.0
NPIL_698301,14.164867938563036,79.78696419363973,410.10743585375235,15.911590400237293
NPIL_698311,0.5191312857064988,0.0,1.7563487616863056,1.3509840905861852
NPIL_698321,1.928201918338424,3.6895705985498144,13.172615712647291,3.5275695698639282
NPIL_698331,0.3708080612189277,6.149284330916357,28.10158018698089,0.3002186867969301
NPIL_698341,4320.95217577192,4851.170408659914,407.4729127112229,989.67090102608
NPIL_698351,48.27920957070438,68.8719845062632,90.01287403642316,3.977897600059323
NPIL_698361,0.5932928979502843,0.7686605413645446,7.025395046745222,0.3002186867969301
NPIL_434501,0.0,0.0,0.0,0.0
NPIL_73331,0.0,0.0,0.0,0.0
NPIL_446311,0.0,0.0,0.0,0.0
NPIL_446321,0.0,0.7686605413645446,0.4390871904215764,0.0
NPIL_622451,0.0,0.0,2.6345231425294586,0.0
NPIL_287001,0.0,0.0,0.0,0.0
NPIL_389651,0.0,0.0,1.7563487616863056,0.15010934339846504
NPIL_375021,0.0,0.0,0.0,0.0
NPIL_375031,1.1124241836567832,0.0,3.512697523372611,0.0
NPIL_341411,0.0,0.0,0.0,0.0
NPIL_186881,0.0,0.0,0.0,0.0
NPIL_186891,0.0,0.0,0.0,0.0
NPIL_186901,0.0,0.0,0.0,0.0
NPIL_608391,5.191312857064988,5.534355897824722,7.025395046745222,119.18681865838123
NPIL_608401,0.29664644897514214,3.3821063820039967,25.906144234873008,0.4503280301953951
NPIL_608411,0.8899393469254264,1.2298568661832714,2.195435952107882,2.176585479277743
NPIL_608421,0.2224848367313566,0.6149284330916357,14.050790093490445,0.3002186867969301
NPIL_608431,1.4090706326319251,1.5373210827290893,3.512697523372611,4.1280069434577875
NPIL_608442,0.0,0.0,0.0,0.0
NPIL_608441,0.0,0.0,0.0,0.0
NPIL_608451,0.29664644897514214,0.30746421654581785,1.7563487616863056,0.0
NPIL_608461,0.14832322448757107,0.6149284330916357,2.6345231425294586,0.6004373735938602
NPIL_608471,0.0,0.0,1.7563487616863056,0.0
NPIL_608481,0.0,0.0,0.0,0.0
NPIL_608482,0.0,0.0,0.0,0.0
NPIL_608491,1.6315554693632817,7.225409088826719,41.71328309004976,2.476804166074673
NPIL_608501,0.0,2.459713732366543,7.9035694275883746,0.0
NPIL_608511,0.7416161224378554,0.0,1.7563487616863056,0.7505467169923251
NPIL_608521,0.0,0.30746421654581785,1.7563487616863056,0.3002186867969301
NPIL_608531,1.5573938571194963,5.073159573005994,48.29959094637341,0.9006560603907902
NPIL_608541,0.0,5.534355897824722,30.297016139088772,0.15010934339846504
NPIL_608551,4.672181571358489,23.367280457482156,23.710708282765125,4.653389645352416
NPIL_608561,2.7439796530200646,23.674744674027973,77.27934551419744,0.9006560603907902
NPIL_608571,0.0,0.0,0.0,0.0
NPIL_608581,0.0,0.0,0.0,0.0
NPIL_608591,0.0,0.0,0.0,0.0
NPIL_608601,0.0,0.30746421654581785,2.6345231425294586,0.0
NPIL_608612,0.0,0.0,0.0,0.0
NPIL_608611,0.0,0.0,0.0,0.0
NPIL_608613,0.0,1.8447852992749072,1.7563487616863056,0.0
NPIL_80394,0.0,0.0,0.0,0.0
NPIL_608621,0.0,0.0,0.0,0.0
NPIL_608631,17.131332428314458,31.361350087673422,178.26939931116002,5.403936362344741
NPIL_608641,114.20888285542974,75.32873305372537,57.08133475480493,48.41026324600497
NPIL_608651,0.6674545101940698,2.767177948912361,0.8781743808431528,0.6004373735938602
NPIL_608661,13.868221489587894,31.66881430421924,89.13469965558001,12.384020830373364
NPIL_608671,13.12660536715004,22.59861991611761,117.67536703298248,5.629100377442438
NPIL_608681,0.0,0.0,1.7563487616863056,0.0
NPIL_608691,0.0,0.0,0.8781743808431528,0.0
NPIL_608701,0.0,1.2298568661832714,16.246226045598327,0.0
NPIL_608711,0.0,0.0,0.0,0.0
NPIL_608712,0.0,0.0,0.0,0.0
NPIL_608721,6.30373704072177,13.067229203197257,40.83510870920661,5.5540457057432056
NPIL_608732,0.0,0.0,0.4390871904215764,0.07505467169923252
NPIL_608731,0.0,0.0,0.0,0.0
NPIL_608741,0.0,0.0,1.7563487616863056,0.0
NPIL_608751,0.0,0.0,1.3172615712647293,0.0
NPIL_608761,0.0,0.0,1.7563487616863056,0.0
NPIL_608771,0.0,0.0,3.512697523372611,0.0
