Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4,Variance_rlog
NPIL_577611,BMAW01054755.1,Unknown,hypothetical protein,0,0,2,993,248.75,496.1675624222124,-0.500612789326522,-0.500612789326522,-0.4987738577352839,1.499999436388328,10.510676414785758
NPIL_160201,BMAW01061937.1,Unknown,hypothetical protein,0,2734,1,2,684.25,1366.5002439321652,-0.5010032809443062,1.499999174893061,-0.5004439226455939,-0.4985519713031608,10.345253469484067
NPIL_301121,BMAW01062181.1,AVEN_6106_1,uncharacterized protein,8,10869,9,2,2722.0,5431.33421300267,-0.4997375333381909,1.4999999214029125,-0.4998063280229753,-0.5004560600417461,10.239974095551908
NPIL_634181,BMAW01011939.1,Unknown,hypothetical protein,0,0,0,483,120.75,241.5,-0.5,-0.5,-0.5,1.5,10.200469023201586
NPIL_327751,BMAW01132841.1,Unknown,hypothetical protein,0,10,12,5079,1275.25,2535.838766562259,-0.50150349831141,-0.4991502980421612,-0.499345350879732,1.4999991472333032,10.069485641527201
NPIL_72681,BMAW01094784.1,Unknown,hypothetical protein,10,98,138,54756,13750.5,27337.052285618996,-0.5013482919713181,-0.4994070155512571,-0.4992440072155856,1.499999314738161,10.04998112119542
NPIL_674321,BMAW01014807.1,Unknown,hypothetical protein,0,1,2,1107,277.5,553.0006027724262,-0.5009095988160434,-0.4998302527714838,-0.4992597973914346,1.499999648978962,9.97535909043684
NPIL_282441,BMAW01052851.1,Unknown,hypothetical protein,0,55,64,21930,5512.25,10945.20322256893,-0.5018876661848227,-0.498889578003397,-0.4992214051786914,1.499998649366911,9.879553250439033
NPIL_581281,BMAW01099930.1,NCL1_37627,uncharacterized protein,4884,2,3,34534,9855.75,16612.31864962464,-0.3942219532516967,-0.5508472559616899,-0.5508368936949464,1.495906102908333,9.833525485991169
NPIL_275751,BMAW01117701.1,Unknown,hypothetical protein,0,8,41,7233,1820.5,3608.3769666337994,-0.5021660768633137,-0.5008437105752942,-0.4969865914662377,1.4999963789048458,9.831548095865125
NPIL_701421,BMAW01061696.1,Unknown,hypothetical protein,0,0,0,375,93.75,187.5,-0.5,-0.5,-0.5,1.5,9.695074998470945
NPIL_609571,BMAW01018728.1,NCL1_28494,uncharacterized protein,5626,6,3,30105,8935.0,14359.968036176126,-0.3587775341642531,-0.5669140554839237,-0.5670655302668401,1.492757119915017,9.684314966518436
NPIL_615891,BMAW01129878.1,PNLIPRP3_1,pancreatic lipase-related protein 3,2,0,0,640,160.5,319.66805700079993,-0.49774262086545,-0.5011277346503891,-0.5011277346503891,1.4999980901662282,9.487756467432396
NPIL_581261,BMAW01099930.1,NCL1_37627,uncharacterized protein,1064,0,1,3310,1093.75,1560.239378001551,-0.2500322728437795,-0.6140142264471307,-0.6137258158068328,1.477772315097743,9.309394542821368
NPIL_351121,BMAW01040623.1,OAT,"ornithine aminotransferase, mitochondrial",48,0,0,2377,606.25,1180.7168373492436,-0.485346036912277,-0.5072868638138132,-0.5072868638138132,1.4999197645399032,9.283663252372465
NPIL_800231,BMAW01132854.1,MiSp1B2,minor ampullate spidroin 1B variant 2,250,0,43,25769,6515.5,12836.13063452794,-0.4934872019678438,-0.5040113748569556,-0.5024852520737443,1.4999838288985436,9.222022047822236
NPIL_309861,BMAW01080885.1,Unknown,hypothetical protein,0,2129,12,0,535.25,1062.5150587168164,-0.5028717776577475,1.499987593634344,-0.4942440383188492,-0.5028717776577475,9.20480579926627
NPIL_593281,BMAW01117368.1,NCL1_22245,uncharacterized protein,2,16,26,2793,709.25,1389.2015392543542,-0.5046055576477193,-0.4985228624124772,-0.496863271882552,1.4999916919427485,8.829562457562872
NPIL_73961,BMAW01012453.1,NCL1_37627,uncharacterized protein,258,2,0,5918,1544.5,2918.182710752247,-0.4683018900491215,-0.5154587354679618,-0.5158654755351404,1.4996261010522236,8.784493210452302
NPIL_581271,BMAW01099930.1,NCL1_37627,uncharacterized protein,3010,10,18,14192,4307.5,6739.316557831859,-0.3393440948594682,-0.5758230536039807,-0.5754962729748782,1.4906634214383272,8.767693967592294
