Pathway_ID,Pathway_Name,Gene_Count
ko04915,Pathway (ko04915),77
map04915,Pathway (map04915),77
ko04062,Pathway (ko04062),76
map04062,Pathway (map04062),76
map05202,Pathway (map05202),76
ko05202,Pathway (ko05202),76
map04621,Pathway (map04621),75
map04722,Pathway (map04722),75
ko04621,Pathway (ko04621),75
ko04722,Pathway (ko04722),75
map05014,Pathway (map05014),75
ko05014,Pathway (ko05014),75
ko04913,Pathway (ko04913),75
map04913,Pathway (map04913),75
map04111,Pathway (map04111),75
ko04111,Pathway (ko04111),75
ko03008,Pathway (ko03008),74
map03008,Pathway (map03008),74
ko04924,Pathway (ko04924),74
map04924,Pathway (map04924),74
ko04210,Apoptosis,73
map04210,Apoptosis,73
ko04923,Pathway (ko04923),72
map04923,Pathway (map04923),72
ko05414,Pathway (ko05414),72
map05414,Pathway (map05414),72
map05164,Pathway (map05164),71
ko05164,Pathway (ko05164),71
map00010,Glycolysis / Gluconeogenesis,70
ko00010,Glycolysis / Gluconeogenesis,70
ko04721,Pathway (ko04721),70
map04721,Pathway (map04721),70
ko04066,Pathway (ko04066),70
map04066,Pathway (map04066),70
map00590,Pathway (map00590),70
ko00590,Pathway (ko00590),70
map05120,Pathway (map05120),69
ko05120,Pathway (ko05120),69
ko04914,Pathway (ko04914),69
map04914,Pathway (map04914),69
map04540,Pathway (map04540),69
ko04540,Pathway (ko04540),69
ko00970,Pathway (ko00970),68
map00970,Pathway (map00970),68
map04113,Pathway (map04113),68
ko04113,Pathway (ko04113),68
ko00480,Pathway (ko00480),67
map00480,Pathway (map00480),67
map05167,Pathway (map05167),67
ko05167,Pathway (ko05167),67
map03018,Pathway (map03018),67
ko03018,Pathway (ko03018),67
ko04260,Pathway (ko04260),67
map04260,Pathway (map04260),67
ko04520,Pathway (ko04520),66
map04520,Pathway (map04520),66
map05225,Pathway (map05225),66
ko05225,Pathway (ko05225),66
map04720,Pathway (map04720),66
ko04720,Pathway (ko04720),66
map04138,Pathway (map04138),66
ko04138,Pathway (ko04138),66
ko05410,Pathway (ko05410),64
map05410,Pathway (map05410),64
ko04974,Pathway (ko04974),64
map04974,Pathway (map04974),64
ko04971,Pathway (ko04971),64
map04971,Pathway (map04971),64
ko05322,Pathway (ko05322),63
map05322,Pathway (map05322),63
ko04916,Pathway (ko04916),63
map04916,Pathway (map04916),63
ko05146,Pathway (ko05146),62
map05146,Pathway (map05146),62
map00982,Pathway (map00982),62
ko00982,Pathway (ko00982),62
map04390,Hippo signaling pathway,61
ko04390,Hippo signaling pathway,61
ko00061,Pathway (ko00061),61
map00061,Pathway (map00061),61
map00520,Pathway (map00520),60
ko00520,Pathway (ko00520),60
map00620,Pathway (map00620),60
ko00620,Pathway (ko00620),60
ko05030,Pathway (ko05030),60
map05030,Pathway (map05030),60
map04727,Pathway (map04727),59
ko04727,Pathway (ko04727),59
map04391,Pathway (map04391),58
ko04391,Pathway (ko04391),58
map04918,Pathway (map04918),58
ko04918,Pathway (ko04918),58
map05224,Pathway (map05224),58
ko05224,Pathway (ko05224),58
map05145,Pathway (map05145),57
ko05145,Pathway (ko05145),57
ko05032,Pathway (ko05032),56
map05032,Pathway (map05032),56
map00591,Pathway (map00591),55
ko00591,Pathway (ko00591),55
ko04070,Phosphatidylinositol signaling system,54
map04070,Phosphatidylinositol signaling system,54
map00630,Pathway (map00630),54
ko00630,Pathway (ko00630),54
map05226,Pathway (map05226),54
ko05226,Pathway (ko05226),54
ko04350,TGF-beta signaling pathway,53
map04350,TGF-beta signaling pathway,53
map05132,Pathway (map05132),52
ko05210,Pathway (ko05210),52
ko05132,Pathway (ko05132),52
map05210,Pathway (map05210),52
ko04670,Pathway (ko04670),52
map04670,Pathway (map04670),52
ko03020,Pathway (ko03020),51
map03020,Pathway (map03020),51
ko04933,Pathway (ko04933),50
map04933,Pathway (map04933),50
map04012,Pathway (map04012),49
map05161,Pathway (map05161),49
ko04012,Pathway (ko04012),49
ko05161,Pathway (ko05161),49
map04979,Pathway (map04979),49
ko04979,Pathway (ko04979),49
ko00500,Pathway (ko00500),49
map00500,Pathway (map00500),49
map05100,Pathway (map05100),49
ko05100,Pathway (ko05100),49
ko00981,Pathway (ko00981),49
map00981,Pathway (map00981),49
map04137,Pathway (map04137),47
ko04214,Pathway (ko04214),47
map05160,Pathway (map05160),47
ko04137,Pathway (ko04137),47
map04214,Pathway (map04214),47
ko05160,Pathway (ko05160),47
map04512,Pathway (map04512),47
ko04512,Pathway (ko04512),47
ko05110,Pathway (ko05110),47
map05110,Pathway (map05110),47
map03420,Pathway (map03420),47
ko03420,Pathway (ko03420),47
map04961,Pathway (map04961),47
ko04961,Pathway (ko04961),47
ko03440,Pathway (ko03440),46
map03440,Pathway (map03440),46
map04666,Pathway (map04666),46
ko04666,Pathway (ko04666),46
ko00040,Pathway (ko00040),46
map00040,Pathway (map00040),46
ko04927,Pathway (ko04927),46
map04927,Pathway (map04927),46
map00983,Pathway (map00983),45
ko00983,Pathway (ko00983),45
map00561,Pathway (map00561),45
ko00561,Pathway (ko00561),45
ko00562,Pathway (ko00562),44
