Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_661351,BMAW01042581.1,NCL1_40015,uncharacterized protein,0,0,6,0,1.5,3.0,-0.4999999999999999,-0.4999999999999999,1.4999999999999998,-0.4999999999999999
NPIL_207121,BMAW01042584.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_551561,BMAW01042593.1,Unknown,hypothetical protein,563,204,10,0,194.25,263.1556890258439,1.3783285883225553,0.09819331003293269,-0.7222935086207659,-0.754228389734722
NPIL_551571,BMAW01042593.1,SETMAR_215,histone-lysine N-methyltransferase SETMAR,4,8,4,0,4.0,3.265986323710904,-0.013578843674506841,1.313390198087878,-0.18618861689933228,-1.1136227375140386
NPIL_551581,BMAW01042593.1,Unknown,hypothetical protein,0,5,6,0,2.75,3.2015621187164243,-0.8644110196476837,0.9391584491908036,0.7896635901045638,-0.8644110196476837
NPIL_551591,BMAW01042593.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_196131,BMAW01042597.1,X975_10891,uncharacterized protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_196141,BMAW01042597.1,pif1_97,ATP-dependent DNA helicase,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_196151,BMAW01042597.1,pif1_97,ATP-dependent DNA helicase,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_196161,BMAW01042597.1,Unknown,hypothetical protein,0,0,1,0,0.25,0.5,-0.5,-0.5,1.5,-0.5
NPIL_238961,BMAW01042598.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_255631,BMAW01042599.1,Unknown,hypothetical protein,1,0,2,0,0.75,0.9574271077563381,0.3983790720053326,-0.8145055921365646,1.2306321122677966,-0.8145055921365646
NPIL_644461,BMAW01042601.1,AVEN_222096_1,uncharacterized protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_41901,BMAW01042603.1,NCL1_41668,uncharacterized protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_654091,BMAW01042608.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_391291,BMAW01042611.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_614211,BMAW01042612.1,DNAH12,"dynein heavy chain 12, axonemal",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_234451,BMAW01042614.1,Unknown,hypothetical protein,0,2,20,1,5.75,9.535023160258536,-0.6690547845876557,-0.3867505863562994,1.4884825073806969,-0.43267713643674166
NPIL_363951,BMAW01042621.1,Unknown,hypothetical protein,0,0,14,0,3.5,7.0,-0.5,-0.5,1.5,-0.5
NPIL_363961,BMAW01042621.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_363971,BMAW01042621.1,TcasGA2_TC009313,MULE domain-containing protein,0,0,2,0,0.5,1.0,-0.5,-0.5,1.5,-0.5
NPIL_363981,BMAW01042621.1,Unknown,hypothetical protein,2597,817,671,293,1094.5,1025.7138977317213,1.4786819440242802,-0.25575277370253136,-0.5989675985617426,-0.6239615717600058
NPIL_363991,BMAW01042621.1,Unknown,hypothetical protein,2,1,6,0,2.25,2.6299556396765835,-0.018609033729108326,-0.43153114175642293,1.3895703000151798,-0.9394301245296484
NPIL_538561,BMAW01042623.1,AVEN_76221_1,uncharacterized protein,0,0,1,0,0.25,0.5,-0.5,-0.5,1.5,-0.5
NPIL_538571,BMAW01042623.1,AVEN_235599_1,uncharacterized protein,0,0,2,0,0.5,1.0,-0.49999999999999994,-0.49999999999999994,1.5,-0.49999999999999994
NPIL_538581,BMAW01042623.1,X975_24243,uncharacterized protein,0,2,8,0,2.5,3.7859388972001824,-0.7037931297169547,-0.009894800071988332,1.417481059505898,-0.7037931297169547
NPIL_336681,BMAW01042630.1,AVEN_149573_1,uncharacterized protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_552171,BMAW01042636.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_552181,BMAW01042636.1,Unknown,hypothetical protein,4,30,38,5,19.25,17.346949779908474,-1.0299511724053507,0.8918997461045256,0.822081596603852,-0.6840301703030268
NPIL_170161,BMAW01042638.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_573221,BMAW01042644.1,TTPAL_10,alpha-tocopherol transfer protein-like,22,8,17,0,11.75,9.742518497116988,1.1560719953692375,-0.26598593461374537,0.3284627635032783,-1.2185488242587703
NPIL_570351,BMAW01042648.1,cta,guanine nucleotide-binding protein subunit alpha homolog,5,29,54,10,24.5,22.218610817660647,-1.1609309298433301,0.3866326262174582,1.1627088390641303,-0.38841053543825815
NPIL_570361,BMAW01042648.1,AVEN_133732_1,uncharacterized protein,409,151,209,28,199.25,158.89697920350784,1.3890697403149872,-0.22893941267173376,-0.1646612559753274,-0.9954690716679263
NPIL_570371,BMAW01042648.1,Unknown,hypothetical protein,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NPIL_570381,BMAW01042648.1,AVEN_133727_1,uncharacterized protein,0,0,5,0,1.25,2.5,-0.5,-0.5,1.5,-0.5
