Gene ID,Chr,Gene Name,Description,NPFM1,NPFM2,NPFM3,NPFM4,Avg Expression,Standard Deviation,Z-score_NPFM1,Z-score_NPFM2,Z-score_NPFM3,Z-score_NPFM4
NPIL_800101,BMAW01132852.1,AgSp1A1,aggregate spidroin 1A variant 1,16468,3101,84,66204,21464.25,30664.48425975344,-0.3278228516168139,-0.551786423912354,-0.6092920407034594,1.4889013162326274
NPIL_499351,BMAW01002202.1,AVEN_179890_1,uncharacterized protein,17186,67100,149,388,21205.75,31618.59162344205,-0.1668823031431426,1.4610274274990305,-0.655538716740341,-0.6386064076155462
NPIL_342701,BMAW01024987.1,HCE,hemocyanin E chain,29823,40668,2632,8399,20380.5,17882.105179946422,0.365701206197242,1.184418627462303,-1.136984904467991,-0.4131349291915537
NPIL_651241,BMAW01088747.1,Unknown,hypothetical protein,4,0,1,80402,20101.75,40200.16670259797,-0.499967876494004,-0.5000217377787358,-0.5000103853241837,1.4999999995969238
NPIL_225001,BMAW01109472.1,Unknown,hypothetical protein,147,18,42,79914,20030.25,39922.53930112663,-0.4989212867432044,-0.5006445360236046,-0.5004337354392903,1.4999995582060992
NPIL_800161,BMAW01132841.1,SpiCE-NMa2A4,spider silk-constituting element SpiCE-NMa2A4,16,12,49,79592,19917.25,39783.17012150573,-0.5001022479294124,-0.5001398269915456,-0.4997579029247367,1.4999999778456947
NPIL_305621,BMAW01102198.1,Unknown,venom allergen 5,2625,118,79,74415,19309.25,36756.47096204059,-0.4752531860718946,-0.5117937065580451,-0.5127247404985222,1.4997716331284618
NPIL_206691,BMAW01030489.1,X975_01468,platelet glycoprotein Ib alpha chain,17860,58493,422,284,19264.75,27423.51192407712,-0.0976607976548343,1.4437629156518763,-0.6758399612693735,-0.6702621567276686
NPIL_148041,BMAW01090820.1,Unknown,myophilin,2311,10426,3001,60772,19127.5,28004.994536689344,-0.5569380246337783,-0.3854163645388674,-0.5528487731669838,1.4952031623396296
NPIL_403331,BMAW01004609.1,AVEN_191891_1,uncharacterized protein,38635,4020,360,33342,19089.25,19689.62778342953,0.4249316897981399,-0.7477263233298921,-0.8893738801857749,1.2121685137175269
NPIL_272221,BMAW01083362.1,nas-15,zinc metalloproteinase nas-15,3568,70707,114,73,18615.5,34766.274064577774,-0.4396132766610365,1.4986520818771625,-0.530023878471489,-0.529014926744637
NPIL_358321,BMAW01061365.1,SYMPK,symplekin,29254,9258,452,33560,18131.0,15843.530120104757,0.1397111061231047,-0.561708643418704,-0.9238852003095565,1.3458827376051556
NPIL_800111,BMAW01132853.1,AgSp2A1,aggregate spidroin 2A variant 1,6191,321,8,65429,17987.25,31755.424611395138,-0.4319836160487202,-0.530229244959053,-0.536076028131545,1.4982888891393182
NPIL_673741,BMAW01098605.1,rla-1,60S acidic ribosomal protein P1,29029,8271,490,33831,17905.25,16056.951067476455,0.136538294429247,-0.5857088723737018,-0.9017861655070668,1.3509567434515215
NPIL_72651,BMAW01094784.1,Unknown,hypothetical protein,4,6,66,70871,17736.75,35422.84501443478,-0.5002763196985235,-0.5002363071550309,-0.4994872743761399,1.4999999012296945
NPIL_440241,BMAW01036674.1,RPLP0,60S acidic ribosomal protein P0,22980,9611,538,31947,16269.0,13935.931137411188,-0.0110887680003939,-0.4954612248649009,-0.892608672672487,1.3991586655377817
NPIL_800121,BMAW01132838.1,SpiCE-NMa1,spider silk-constituting element SpiCE-NMa1,3,72,115,64703,16223.25,32319.86625771627,-0.5009506476034153,-0.4996712229154416,-0.4993777797352889,1.4999996502541455
NPIL_103701,BMAW01025985.1,RPL6,60S ribosomal protein L6,30941,12972,486,19079,15869.5,12681.9896046848,0.6696107401497073,-0.3697687946458137,-1.2384842228758344,0.9386422773719412
NPIL_182321,BMAW01041403.1,Unknown,cathepsin L,45942,16897,81,105,15756.25,21626.803606867103,1.3728667590228985,0.1121529319074427,-0.7454116215682958,-0.739608069362045
NPIL_260461,BMAW01067671.1,RPLP2,60S acidic ribosomal protein P2,26308,7350,509,28550,15679.25,13882.115865986232,0.1897165608997378,-0.5930283904343834,-0.9232873590776052,1.3265991886122506
NPIL_508431,BMAW01116764.1,CTSB,cathepsin B,11054,4214,138,47009,15603.75,21415.771297107185,-0.3561070741992108,-0.5122178323908179,-0.6226787297083354,1.491003636298364
NPIL_332381,BMAW01051049.1,SEC61A2,protein transport protein Sec61 subunit alpha isoform 2,13648,3503,288,43410,15212.25,19641.790114871572,-0.2885317653546799,-0.5489656605150582,-0.6453671535917418,1.48286457946148
NPIL_342741,BMAW01024987.1,HCA,hemocyanin A chain,21894,26629,2705,8086,14828.5,11278.499442153938,0.4143259143711824,1.0639090993007136,-1.288590930798769,-0.1896440828731265
NPIL_3791,BMAW01049865.1,AVEN_200179_1,uncharacterized protein,38929,6045,778,13401,14788.25,16905.933857179654,1.2141265064818898,-0.6354834980010042,-0.9802063298063922,0.4015633213255068
NPIL_342651,BMAW01024987.1,HCF,hemocyanin F chain,19747,30644,2705,6042,14784.5,12890.510372621662,0.2234035783575755,1.2707791211792443,-1.0779389707016491,-0.4162437288351707
NPIL_140981,BMAW01098819.1,l(2)efl,protein lethal(2)essential for life,17706,32417,1567,6520,14552.5,13689.767334278062,0.0692734370337722,1.3226430179414246,-1.0681819029818966,-0.3237345519933007
NPIL_80132,BMAW01064079.1,Unknown,28S ribosomal RNA,26580,12269,8223,9949,14255.25,8382.053860281898,1.2355819433269508,-0.3410835350410456,-1.1389628668081089,0.2444644585222033
NPIL_153351,BMAW01104480.1,ODC1,ornithine decarboxylase,15836,5692,48,35317,14223.25,15505.560193577872,-0.2028270249454101,-0.5251586271219575,-0.7355725561749414,1.463558208242309
NPIL_410801,BMAW01045360.1,AAEL006169,lysosomal aspartic protease,37460,18508,117,130,14053.75,17849.338892986114,1.2719679509055422,0.3255731476929345,-0.8026997040974526,-0.7948413945010243
NPIL_338921,BMAW01051037.1,SRSF3,hypothetical protein,27491,14494,271,13929,14046.25,11116.54986570324,0.8110418576501923,-0.1097655996957392,-1.371487878763516,0.6702116208090629
NPIL_678461,BMAW01119305.1,AVEN_31304_1,uncharacterized protein,36093,7825,514,11739,14042.75,15418.692992057831,1.241946413938806,-0.517687528806009,-1.043045465683922,0.3187865805511246
NPIL_72681,BMAW01094784.1,Unknown,hypothetical protein,10,98,138,54756,13750.5,27337.052285618996,-0.5013482919713181,-0.4994070155512571,-0.4992440072155856,1.499999314738161
NPIL_3781,BMAW01049865.1,AVEN_200179_1,uncharacterized protein,26627,11957,567,14230,13345.25,10683.298129167166,0.8009065185205071,-0.2772761998370519,-1.2973276658507062,0.7736973471672512
NPIL_282411,BMAW01052851.1,TRAM1,translocating chain-associated membrane protein 1,19030,5172,339,28443,13246.0,12860.580469014609,-0.0154036142721262,-0.5832918432504974,-0.8142759125187397,1.412971370041363
NPIL_703651,BMAW01097434.1,HK2,hexokinase-2,26907,8078,382,17522,13222.25,11505.007036793444,0.6505833604358955,-0.5465813159421138,-1.1179705207686546,1.013968476274873
NPIL_161101,BMAW01095760.1,RpL3,60S ribosomal protein L3,17636,6517,395,27482,13007.5,12001.887476559676,-0.0602055637048069,-0.5275435599957179,-0.8342541023987814,1.4220032260993063
NPIL_385631,BMAW01020412.1,sls,titin,21274,2767,2040,25898,12994.75,12378.11588718843,0.1302110358776146,-0.716649957607284,-0.7785787057545682,1.3650176274842378
NPIL_408891,BMAW01059076.1,Gapdh1,glyceraldehyde-3-phosphate dehydrogenase 1,19354,12263,525,19235,12844.25,8856.641627426656,0.1470423675869926,-0.2533931566583841,-1.1527506407428068,1.2591014298141987
NPIL_356701,BMAW01009206.1,Unknown,hypothetical protein,29352,21707,68,205,12833.0,14989.29446860881,1.0323789071249172,0.681774228045607,-0.8674979084037492,-0.8466552267667748
NPIL_579081,BMAW01008173.1,Unknown,u37-Nephitoxin-Nsp1b_1,18712,31182,169,474,12634.25,15102.011044338877,0.3168681180293609,1.2764338255454108,-0.8190757692275712,-0.7742261743472005
NPIL_415071,BMAW01044074.1,rpl7a,60S ribosomal protein L7a,20425,7059,367,22583,12608.5,10665.20190463672,0.1581111309533868,-0.5393630311952098,-0.9520489566503793,1.3333008568922022
NPIL_342771,BMAW01024987.1,HCD,hemocyanin D chain,13026,28889,2098,6343,12589.0,11760.875335903644,-0.1248973951638297,1.374729679588074,-1.0208192737647777,-0.2290130106594671
NPIL_361201,BMAW01012674.1,NCL1_29620,prokineticin domain-containing protein,11474,37702,120,135,12357.75,17722.586010982333,-0.0960872275166035,1.44333130157511,-0.6774102462889807,-0.6698338277695254
NPIL_383641,BMAW01014830.1,Unknown,myosin regulatory light chain 2,7110,3361,665,37190,12081.5,16946.348446395958,-0.3964469850922453,-0.5009244380283316,-0.5975615727565086,1.4949329958770852
NPIL_105091,BMAW01100428.1,X975_10592,laminin subunit alpha-2,11974,36037,144,147,12075.5,16919.55071310504,-0.0566014701535557,1.432065890343503,-0.691755497736458,-0.6837089224534894
